MODOPRIN,FE_VIA,CRITERIOBR
A pe,197.568395,C2
Onibus,214.944225,C2
A pe,455.222595,C1
A pe,455.222595,C1
Bike,286.570842,B2
Bike,286.570842,B2
Outros,1.0,B2
Outros,1.0,B2
Bike,660.2955,D-E
Bike,660.2955,D-E
Onibus,495.258708,C2
Onibus,495.258708,C2
Outros,1.0,C2
Metro,455.222595,C1
Onibus,495.258708,C1
Onibus,495.258708,C2
Onibus,495.258708,C2
Onibus,233.287244,C1
A pe,214.428586,C1
A pe,214.428586,C1
A pe,214.428586,C1
Carro,214.428586,B2
Carro,214.428586,B2
Onibus,233.287244,B2
Onibus,233.287244,B2
Carro,214.428586,B1
Carro,214.428586,B1
A pe,214.428586,B1
A pe,214.428586,B1
A pe,214.428586,B1
A pe,214.428586,B1
A pe,402.093123,B1
A pe,402.093123,B1
A pe,402.093123,B1
A pe,402.093123,B1
Onibus,101.247581,B2
Metro,93.062849,B2
Carro,214.428586,B1
Carro,214.428586,B1
Carro,214.428586,B1
A pe,214.428586,B1
A pe,214.428586,B1
Carro,214.428586,B1
Carro,214.249422,B1
Onibus,233.092322,B1
Carro,214.428586,B1
Carro,214.428586,B1
A pe,214.428586,B1
Onibus,233.287244,C1
Onibus,233.287244,C1
Outros,1.0,C1
A pe,214.428586,C1
A pe,214.428586,C1
Onibus,233.287244,D-E
Onibus,233.287244,D-E
Onibus,233.287244,D-E
Onibus,233.287244,D-E
Onibus,233.287244,D-E
Onibus,233.287244,D-E
Onibus,233.287244,D-E
Onibus,233.287244,D-E
A pe,93.062849,D-E
A pe,93.062849,D-E
A pe,214.249422,D-E
A pe,214.249422,D-E
A pe,214.249422,D-E
A pe,214.249422,D-E
Outros,1.0,D-E
A pe,214.428586,B2
A pe,214.428586,B2
A pe,214.428586,B2
A pe,214.428586,B2
Carro,93.062849,B2
Carro,93.062849,B2
Onibus,101.247581,B2
Onibus,101.247581,B2
A pe,214.428586,B2
A pe,214.428586,B2
Metro,214.428586,ND
Metro,214.428586,ND
Onibus,495.258708,B1
Onibus,495.258708,B1
A pe,197.568395,B1
A pe,197.568395,B1
Onibus,233.287244,B2
Onibus,233.287244,B2
A pe,214.428586,B2
A pe,214.428586,B2
A pe,214.428586,B2
A pe,214.428586,B2
A pe,402.093123,B2
A pe,402.093123,B2
A pe,402.093123,B2
A pe,402.093123,B2
Onibus,248.809658,B2
Onibus,248.809658,B2
Metro,455.222595,B2
Metro,455.222595,B2
Outros,1.0,B2
Metro,93.062849,B2
Metro,93.062849,B2
A pe,228.696187,B2
A pe,228.696187,B2
Outros,1.0,B2
A pe,359.834622,C1
A pe,359.834622,C1
A pe,359.834622,C1
A pe,359.834622,C1
Metro,144.687846,C1
Metro,144.687846,C1
A pe,144.687846,C1
A pe,144.687846,C1
Metro,359.834622,B1
Metro,359.834622,B1
Metro,359.834622,B1
Bike,301.51934900000003,C1
Bike,301.51934900000003,C1
Outros,1.0,C1
Onibus,391.481512,C1
Taxi,359.834622,C1
Onibus,303.911849,C2
A pe,279.343984,C2
A pe,279.343984,C2
Onibus,303.911849,C2
A pe,38.446054,B1
A pe,38.446054,B1
Metro,38.446054,B1
Metro,38.446054,B1
Metro,38.446054,B1
Metro,38.446054,B1
A pe,38.446054,B1
A pe,38.446054,B1
A pe,66.550919,B1
A pe,66.550919,B1
A pe,66.550919,B1
A pe,66.550919,B1
A pe,118.785276,C1
A pe,118.785276,C1
A pe,205.619784,B2
A pe,205.619784,B2
A pe,205.619784,B2
A pe,205.619784,B2
Metro,205.619784,B2
Metro,205.619784,B2
Onibus,129.232254,B2
A pe,118.785276,B2
A pe,118.785276,B2
Onibus,129.232254,B2
Onibus,129.539393,C1
Onibus,129.539393,C1
Outros,1.0,B2
Onibus,223.703721,B2
Onibus,223.703721,B2
A pe,359.834622,B1
A pe,359.834622,B1
A pe,359.834622,B1
A pe,359.834622,B1
A pe,207.874232,B1
A pe,207.874232,B1
A pe,207.874232,B1
A pe,207.874232,B1
Outros,1.0,C1
A pe,359.834622,C1
A pe,359.834622,C1
A pe,359.834622,C1
A pe,359.834622,C1
A pe,359.834622,C2
A pe,359.834622,C2
Escolar,144.687846,C2
Escolar,144.687846,C2
A pe,144.687846,C2
A pe,144.687846,C2
Taxi,359.834622,B1
Taxi,359.834622,B1
Carro,359.834622,B1
Carro,359.834622,B1
Carro,359.834622,B1
