"","data","volume","chuva","temp.max","diff","x","y","z","medMov.chuva","medMov.diff","medMov.temp"
"1267",2020-06-20,560.19613,0.1,28,-1.52970999999991,0.0770406663641354,0.00139275766016713,27.52,2.07666666666667,-0.601895999999995,25.6
"1268",2020-06-21,559.03287,0,28,-1.16326000000004,0.0995739913347041,0,27.52,2.05333333333333,-0.621901333333335,25.8
"1269",2020-06-22,557.56488,0,27,-1.46798999999999,0.0808358821294028,0,26.52,0.186666666666665,-0.831925999999999,25.8666666666667
"1270",2020-06-23,556.95619,0,26,-0.608690000000024,0.133674976541234,0,25.52,0.179999999999999,-0.903928666666669,25.8
"1271",2020-06-24,555.57507,0.1,26,-1.38112000000001,0.0861775929772496,0.00139275766016713,25.52,0.166666666666665,-0.985921999999997,25.8
"1272",2020-06-25,554.10825,0,27,-1.46681999999998,0.0809078264334432,0,26.52,0.0399999999999986,-1.08732533333333,25.7333333333333
"1273",2020-06-26,552.96725,1.8,24,-1.14099999999996,0.100942777837219,0.0250696378830084,23.52,0.146666666666665,-1.14478866666667,25.4666666666667
"1274",2020-06-27,552.6152,8.5,16,-0.352050000000077,0.149455990377904,0.118384401114206,15.52,0.706666666666665,-1.10906,24.6666666666667
"1275",2020-06-28,554.06903,24.2,17,1.45383000000004,0.26050110130127,0.337047353760446,16.52,2.31333333333333,-0.925740666666669,23.9333333333333
"1276",2020-06-29,553.54214,0.4,20,-0.52688999999998,0.138704928738244,0.00557103064066852,19.52,2.34,-0.90286533333333,23.7333333333333
"1277",2020-06-30,552.92128,0.3,25,-0.620859999999993,0.1329266327975,0.00417827298050139,24.52,2.36,-0.898909333333328,23.9333333333333
"1278",2020-07-01,551.95824,0.2,22,-0.963039999999978,0.111885690954325,0.00278551532033426,21.52,2.37333333333333,-0.893988666666663,24
"1279",2020-07-02,551.23739,2.6,20,-0.720850000000041,0.126778161890667,0.0362116991643454,19.52,2.54666666666667,-0.863772666666667,23.8
"1280",2020-07-03,550.31432,0,19,-0.923070000000052,0.114343480554741,0,18.52,2.54666666666667,-0.85137066666667,23.4
